Game,Level,Username,Date,Time/Score,Console,Link,Inserted?,Front Page?
TS2,Rocket Man,TB-303,10/13/2025,52.6,PS2,https://youtu.be/qV7EezWnrGU,DONE,Yes
TS2,Hit me baby one morgue time,TB-303,11/11/2025,50.9,PS2,https://youtu.be/zXQYRPOzhOo,DONE,Yes
TS2,Snow Business,TB-303,05/03/2026,25.2,XSX,https://youtu.be/7NCRIeB-zBI,DONE,Yes
TS2,Aztec the Dino Hunter,TB-303,05/07/2026,125,XSX,https://youtu.be/-2NtJo5U808,DONE,Yes
TS2,Baking for the Taking,TB-303,08/14/2026,1:14.4,PS2,https://youtu.be/nweo-J3hQK4,DONE,Yes
,,,,,,,,
TS2,Story Easy,unbalanc2d,08/21/2025,26:25,XSX,https://youtu.be/AzK-J21-SjY,DONE,Yes
TS2,Story Normal,unbalanc2d,09/11/2025,38:55,XSX,https://youtu.be/ZtUuaWBIy6w,DONE,Yes
TS2,Challenges – Gold+,unbalanc2d,06/19/2025,31:10,XSX,https://youtu.be/Ri9zeI9G0ws,DONE,Yes
TS2,Arcade – Plat,unbalanc2d,08/06/2025,1:56:50,XSX,https://youtu.be/NhWfOpu7NGs,DONE,Yes
TS2,Arcade + Challenges – Any,unbalanc2d,10/21/2025,2:02:31,XSX,https://youtu.be/t2luwpbsdhc,DONE,Yes
TS2,Arcade + Challenges – Gold+,unbalanc2d,10/13/2025,2:15:23,XSX,https://youtu.be/t230jaz2a5c,DONE,Yes
TS2,Arcade + Challenges – Plat,unbalanc2d,07/10/2026,2:41:03,XSX,https://youtu.be/BMkHbqPlsVI,DONE,Yes
TS2,100% - Gold+,unbalanc2d,07/18/2025,2:56:24,XSX,https://youtu.be/sFsgUmdet5k,DONE,Yes
TS2,100% - Plat,unbalanc2d,07/20/2025,3:25:37,XSX,https://youtu.be/nfT0lYHqB-E,DONE,Yes
,,,,,,,,
TS1,Village Normal,TB-303,06/13/2026,32.1,PS2,https://youtu.be/GdaF_mFWVNY,DONE,Yes
